Год;Валовой внутренний продукт в рыночных ценах;Оплата труда наемных работников;в том числе оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами;units;source 
1995;1428522,1;647875,8;110000;млрд. руб.;CA_07_2021
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_07_2021
1997;2342514;1202900,5;270000;млрд. руб.;CA_07_2021
1998;2629623;1263046,8;270000;млн. руб.;CA_07_2021
1999;4823233,5;1933606,1;525000;млн. руб.;CA_07_2021
2000;7305646,3;2937229,9;810000;млн. руб.;CA_07_2021
2001;8943582,4;3848398,3;993500;млн. руб.;CA_07_2021
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_07_2021
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_07_2021
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_07_2021
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_07_2021
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_07_2021
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_07_2021
2008;41276849,1;19559761;5200000;млн. руб.;CA_07_2021
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_07_2021
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_07_2021
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_07_2021
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_07_2021
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_07_2021
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_07_2021
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_07_2021
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_07_2021
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_07_2021
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_07_2021
2019;109241536,4;48165914,8;9800000;млн. руб.;CA_07_2021
2020;106967459,4;50345915;10350000;млн. руб.;CA_07_2021
1995;1428522,1;647875,8;110000;млрд. руб.;CA_08_2022
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_08_2022
1997;2342514;1202900,5;270000;млрд. руб.;CA_08_2022
1998;2629623;1263046,8;270000;млн. руб.;CA_08_2022
1999;4823233,5;1933606,1;525000;млн. руб.;CA_08_2022
2000;7305646,3;2937229,9;810000;млн. руб.;CA_08_2022
2001;8943582,4;3848398,3;993500;млн. руб.;CA_08_2022
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_08_2022
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_08_2022
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_08_2022
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_08_2022
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_08_2022
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_08_2022
2008;41276849,1;19559761;5200000;млн. руб.;CA_08_2022
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_08_2022
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_08_2022
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_08_2022
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_08_2022
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_08_2022
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_08_2022
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_08_2022
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_08_2022
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_08_2022
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_08_2022
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_08_2022
2020;107390333,2;49697313,2;10300000;млн. руб.;CA_08_2022
2021;131014989,3;54101599,1;11000000;млн. руб.;CA_08_2022
1995;1428522,1;647875,8;110000;млрд. руб.;CA_04_2023
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_04_2023
1997;2342514;1202900,5;270000;млрд. руб.;CA_04_2023
1998;2629623;1263046,8;270000;млн. руб.;CA_04_2023
1999;4823233,5;1933606,1;525000;млн. руб.;CA_04_2023
2000;7305646,3;2937229,9;810000;млн. руб.;CA_04_2023
2001;8943582,4;3848398,3;993500;млн. руб.;CA_04_2023
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_04_2023
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_04_2023
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_04_2023
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_04_2023
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_04_2023
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_04_2023
2008;41276849,1;19559761;5200000;млн. руб.;CA_04_2023
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_04_2023
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_04_2023
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_04_2023
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_04_2023
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_04_2023
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_04_2023
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_04_2023
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_04_2023
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_04_2023
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_04_2023
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_04_2023
2020;107658131;48696703,7;9900000;млн. руб.;CA_04_2023
2021;135294974,6;54201496,3;11000000;млн. руб.;CA_04_2023
2022;153435152,8;59907630,4;11700000;млн. руб.;CA_04_2023
1995;1428522,1;647875,8;110000;млрд. руб.;CA_04_2024
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_04_2024
1997;2342514;1202900,5;270000;млрд. руб.;CA_04_2024
1998;2629623;1263046,8;270000;млн. руб.;CA_04_2024
1999;4823233,5;1933606,1;525000;млн. руб.;CA_04_2024
2000;7305646,3;2937229,9;810000;млн. руб.;CA_04_2024
2001;8943582,4;3848398,3;993500;млн. руб.;CA_04_2024
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_04_2024
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_04_2024
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_04_2024
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_04_2024
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_04_2024
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_04_2024
2008;41276849,1;19559761;5200000;млн. руб.;CA_04_2024
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_04_2024
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_04_2024
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_04_2024
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_04_2024
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_04_2024
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_04_2024
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_04_2024
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_04_2024
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_04_2024
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_04_2024
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_04_2024
2020;107658131;48696703,7;9900000;млн. руб.;CA_04_2024
2021;135773769;54830354,8;11750000;млн. руб.;CA_04_2024
2022;155188881,1;59811866,3;11700000;млн. руб.;CA_04_2024
2023;172148311,9;69432095,7;12800000;млн. руб.;CA_04_2024
1995;1428522,1;647875,8;110000;млрд. руб.;CA_08_2024
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_08_2024
1997;2342514;1202900,5;270000;млрд. руб.;CA_08_2024
1998;2629623;1263046,8;270000;млн. руб.;CA_08_2024
1999;4823233,5;1933606,1;525000;млн. руб.;CA_08_2024
2000;7305646,3;2937229,9;810000;млн. руб.;CA_08_2024
2001;8943582,4;3848398,3;993500;млн. руб.;CA_08_2024
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_08_2024
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_08_2024
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_08_2024
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_08_2024
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_08_2024
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_08_2024
2008;41276849,1;19559761;5200000;млн. руб.;CA_08_2024
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_08_2024
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_08_2024
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_08_2024
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_08_2024
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_08_2024
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_08_2024
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_08_2024
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_08_2024
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_08_2024
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_08_2024
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_08_2024
2020;107658131;48696703,7;9900000;млн. руб.;CA_08_2024
2021;135773769;54830354,8;11750000;млн. руб.;CA_08_2024
2022;155188881,1;60931866,3;12820000;млн. руб.;CA_08_2024
2023;172148311,9;69432095,7;12800000;млн. руб.;CA_08_2024
1995;1428522,1;647875,8;110000;млрд. руб.;CA_04_2022
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_04_2022
1997;2342514;1202900,5;270000;млрд. руб.;CA_04_2022
1998;2629623;1263046,8;270000;млн. руб.;CA_04_2022
1999;4823233,5;1933606,1;525000;млн. руб.;CA_04_2022
2000;7305646,3;2937229,9;810000;млн. руб.;CA_04_2022
2001;8943582,4;3848398,3;993500;млн. руб.;CA_04_2022
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_04_2022
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_04_2022
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_04_2022
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_04_2022
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_04_2022
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_04_2022
2008;41276849,1;19559761;5200000;млн. руб.;CA_04_2022
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_04_2022
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_04_2022
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_04_2022
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_04_2022
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_04_2022
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_04_2022
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_04_2022
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_04_2022
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_04_2022
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_04_2022
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_04_2022
2020;107390333,2;49697313,2;10300000;млн. руб.;CA_04_2022
2021;131014989,3;54101599,1;11000000;млн. руб.;CA_04_2022
1995;1428522,1;647875,8;110000;млрд. руб.;CA_07_2020
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_07_2020
1997;2342514;1202900,5;270000;млрд. руб.;CA_07_2020
1998;2629623;1263046,8;270000;млн. руб.;CA_07_2020
1999;4823233,5;1933606,1;525000;млн. руб.;CA_07_2020
2000;7305646,3;2937229,9;810000;млн. руб.;CA_07_2020
2001;8943582,4;3848398,3;993500;млн. руб.;CA_07_2020
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_07_2020
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_07_2020
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_07_2020
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_07_2020
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_07_2020
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_07_2020
2008;41276849,1;19559761;5200000;млн. руб.;CA_07_2020
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_07_2020
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_07_2020
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_07_2020
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_07_2020
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_07_2020
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_07_2020
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_07_2020
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_07_2020
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_07_2020
2018;104629637,8;47107278,1;11480000;млн. руб.;CA_07_2020
2019;110046051,6;50321125,2;12242000;млн. руб.;CA_07_2020
1995;1428522,1;647875,8;110000;млрд. руб.;CA_08_2023
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_08_2023
1997;2342514;1202900,5;270000;млрд. руб.;CA_08_2023
1998;2629623;1263046,8;270000;млн. руб.;CA_08_2023
1999;4823233,5;1933606,1;525000;млн. руб.;CA_08_2023
2000;7305646,3;2937229,9;810000;млн. руб.;CA_08_2023
2001;8943582,4;3848398,3;993500;млн. руб.;CA_08_2023
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_08_2023
2003;13208233,8;6231387,9;1496400;млн. руб.;CA_08_2023
2004;17027190,9;7845036,7;1995100;млн. руб.;CA_08_2023
2005;21609765,5;9474266,7;2551000;млн. руб.;CA_08_2023
2006;26917201,4;11985905,6;3450000;млн. руб.;CA_08_2023
2007;33247513,2;15526114,7;4450000;млн. руб.;CA_08_2023
2008;41276849,1;19559761;5200000;млн. руб.;CA_08_2023
2009;38807218,6;20411614,4;5790000;млн. руб.;CA_08_2023
2010;46308541,2;22995635,9;6632000;млн. руб.;CA_08_2023
2011;60114000,8;26385053,6;6128000;млн. руб.;CA_08_2023
2012;68103449,5;30187193,6;7331000;млн. руб.;CA_08_2023
2013;72985701,1;33800073,5;8433000;млн. руб.;CA_08_2023
2014;79030040,1;37438961,7;10119000;млн. руб.;CA_08_2023
2015;83087360,1;39748920,8;10717000;млн. руб.;CA_08_2023
2016;85616083,8;41237450,8;10686000;млн. руб.;CA_08_2023
2017;91843154,2;43897536,4;11420000;млн. руб.;CA_08_2023
2018;103861651,1;46415809,8;10880000;млн. руб.;CA_08_2023
2019;109608305,8;48383047,5;10270000;млн. руб.;CA_08_2023
2020;107658131;48696703,7;9900000;млн. руб.;CA_08_2023
2021;135294974,6;54703641,2;11750000;млн. руб.;CA_08_2023
2022;153435152,8;59907630,4;11700000;млн. руб.;CA_08_2023
1995;1428522,1;647875,8;110000;млрд. руб.;CA_2009
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_2009
1997;2342514;1202900,5;270000;млрд. руб.;CA_2009
1998;2629623;1263046,8;270000;млн. руб.;CA_2009
1999;4823233,5;1933606,1;525000;млн. руб.;CA_2009
2000;7305646,3;2937229,9;810000;млн. руб.;CA_2009
2001;8943582,4;3848398,5;993500;млн. руб.;CA_2009
2002;10830535,1;5065100,6;1249000;млн. руб.;CA_2009
2003;13243239,8;6231387;1496400;млн. руб.;CA_2009
2004;17048121,7;7845036,7;1995100;млн. руб.;CA_2009
2005;21625372,2;9474266,7;2551000;млн. руб.;CA_2009
2006;26903493,8;11985905,6;3450000;млн. руб.;CA_2009
2007;33111381,8;15304205,7;4240000;млн. руб.;CA_2009
2008;41668033,8;19009651;5225000;млн. руб.;CA_2009
1995;1428522,1;647875,8;110000;млрд. руб.;CA_10_2010
1996;2007825,1;1022643,3;220000;млрд. руб.;CA_10_2010
