Источник	Полное описание	Ссылка	Категория	Units	Комментарий
GVA_04_2020	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (01.04.2020)"	https://web.archive.org/web/20200821214807if_/https://rosstat.gov.ru/storage/mediabank/tab14-19-2.xls	статистические материалы		
GVA_12_2021	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (29.12.2021)"	https://web.archive.org/web/20220107014735if_/https://rosstat.gov.ru/storage/mediabank/VDS_god_OKVED2_s2011.xls	статистические материалы		
GVA_02_2022	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (18.02.2022)"	https://web.archive.org/web/20220331214341if_/https://rosstat.gov.ru/storage/mediabank/VDS_God_OKVED2_s2011.xls	статистические материалы		
GVA_04_2022	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (08.04.2022)"	https://web.archive.org/web/20220619171849/https://rosstat.gov.ru/storage/mediabank/VDS_god_OKVED2_s2011.xls	статистические материалы		
GVA_12_2022	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (30.12.2022)"	https://web.archive.org/web/20230108214348if_/https://rosstat.gov.ru/storage/mediabank/VDS-god-OKVED2-s-2011.xls	статистические материалы		
GVA_02_2023	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (17.02.2023)"	см. Historical Records	статистические материалы		
GVA_04_2023	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (07.04.2023)"	https://web.archive.org/web/20230629183157if_/https://rosstat.gov.ru/storage/mediabank/VDS_god_OKVED2_s2011-2022.xls	статистические материалы		
GVA_12_2023	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (29.12.2023)"	см. Historical Records	статистические материалы		
GVA_02_2024	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (07.02.2024)"	https://web.archive.org/web/20240212085658/https://rosstat.gov.ru/storage/mediabank/VDS_god_OKVED2_S_2011.xlsx	статистические материалы		
GVA_04_2024	"Файл ""ВДС годы ОКВЭД2 (с 2011 г.)"" (05.04.2024)"	https://web.archive.org/web/20241206032406/https://rosstat.gov.ru/storage/mediabank/VDS_god_OKVED2_s2011-2023.xlsx	статистические материалы		
GVA_05_2021	"Файл ""ВДС годы ОКВЭД2007 (с 2002 г.)"" (31.05.2021)"	https://web.archive.org/web/20220803074241/https://rosstat.gov.ru/storage/mediabank/Rp8q2AB0/%D0%92%D0%94%D0%A1%20%D0%B3%D0%BE%D0%B4%D1%8B%20%D0%9E%D0%9A%D0%92%D0%AD%D0%942007%20(%D1%81%202002%20%D0%B3.).xls	статистические материалы		
NA_1997	Национальные счета России в 1989-1995 годах: Стат. сб./Госкомстат России. - М., 1997. - 105 с.		статистический сборник	млрд. руб.	
NA_1998	Национальные счета России в 1989-1996 годах: Стат. сб./Госкомстат России. - М., 1998. - 118 с.		статистический сборник	млрд. руб.	
NA_1999	Национальные счета России в 1989-1996 годах: Стат. сб./Госкомстат России. - М., 1999. - 159 с.		статистический сборник	млрд. руб.	
NA_2000	Национальные счета России в 1992-1999 годах: Стат. сб./Госкомстат России. - М., 2000. - 203 с.		статистический сборник	млрд. руб.	
NA_2001	Национальные счета России в 1993-2000 годах: Стат. сб./Госкомстат России. - М., 2001. - 189 с.		статистический сборник	млрд. руб.	
NA_2002	Национальные счета России в 1994-2001 годах: Стат. сб./Госкомстат России. - M., 2002. - 213 c.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/NACC.ARJ	статистический сборник	млрд. руб.	
NA_2003	Национальные счета России в 1995-2002 годах: Стат. сб./Госкомстат России. - М., 2003. - 157 с.		статистический сборник	млрд. руб.	
NA_2004	Национальные счета России в 1996-2003 годах: Стат. сб./ФСГС России. - M., 2004. - 173 c.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/NAC_SH(1).ZIP	статистический сборник	млрд. руб.	
NA_2005	Национальные счета России в 1997-2004 годах: Стат. сб./Росстат. - M., 2005. - 211 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/NAC_SH.ZIP	статистический сборник	млрд. руб.	
NA_2006	Национальные счета России в 1998-2005 годах: Стат. сб./Росстат. - M., 2006. - 145 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(3).zip	статистический сборник	млрд. руб.	
NA_2007	Национальные счета России в 1999-2006 годах: Стат. сб./Росстат. - M., 2007. - 169 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(2).zip	статистический сборник	млрд. руб.	
NA_2008	Национальные счета России в 2000-2007 годах: Стат. сб./Росстат. - M., 2008. - 213 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(1).zip	статистический сборник	млрд. руб.	
NA_2009	Национальные счета России в 2001-2008 годах: Стат. сб./Росстат. - M., 2009. - 253 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh.zip	статистический сборник	млрд. руб.	
NA_2010	Национальные счета России в 2002-2009 годах: Стат. сб./Росстат. - M., 2010. - 325 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(4).rar	статистический сборник	млрд. руб.	
NA_2011	Национальные счета России в 2003-2010 годах: Стат. сб./Росстат. - M., 2011. - 333 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(3).rar	статистический сборник	млрд. руб.	
NA_2012	Национальные счета России в 2004-2011 годах: Стат. сб./Росстат. - M., 2012. - 341 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(2).rar	статистический сборник	млрд. руб.	
NA_2013	Национальные счета России в 2005-2012 годах: Стат. сб./Росстат. - M., 2013. - 363 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh(1).rar	статистический сборник	млрд. руб.	
NA_2014	Национальные счета России в 2006-2013 годах: Стат. сб./Росстат. - M., 2014. - 311 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh14.rar	статистический сборник	млрд. руб.	
NA_2015	Национальные счета России в 2007-2014 годах: Стат. сб./Росстат. - M., 2015. - 303 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh15.rar	статистический сборник	млрд. руб.	
NA_2017	Национальные счета России в 2011-2016 годах: Стат. сб./Росстат. - M., 2017. - 263 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sh.rar	статистический сборник	млрд. руб.	
NA_2019	Национальные счета России в 2014-2018 годах: Стат. сб./Росстат. - M., 2019. - 245 с.	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/Nac-sch_2014-2018.pdf	статистический сборник	млрд. руб.	
NA_2021	Национальные счета России в 2013-2020 годах: Стат. сб./Росстат. - M., 2021. – 429 c	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/nac_sch2021.rar	статистический сборник	млрд. руб.	
NA_2023	Национальные счета России в 2015-2022 годах: Стат. сб./Росстат. - M., 2023. – 419 c	https://web.archive.org/web/20240519145104/https://rosstat.gov.ru/storage/mediabank/Nac_sch-2023.rar	статистический сборник	млрд. руб.	
CA_2009	"Консолидированные счета, файл ""tab37.xls"" (дек. 2009)"	https://web.archive.org/web/20091229035438/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_10_2010	"Консолидированные счета, файл ""tab37.xls"" (08.10.2010)"	https://web.archive.org/web/20101226132639/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2011	"Консолидированные счета, файл ""tab37.xls"" (15.04.2011)"	https://web.archive.org/web/20110615185606/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2012	"Консолидированные счета, файл ""tab37.xls"" (16.04.2012)"	https://web.archive.org/web/20120619102804/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
