Year;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2007;70814;4246;12080;10659;1421;17;1404;17,1;66183;62327;58322;4005;2481;;;1375;;;;;;;;;rab_sila_2010
2008;70603;5289;13602;11948;1654;26;1628;19,3;65639;61362;56666;4696;2727;;;1551;;;;;;;;;rab_sila_2010
2009;69362;6162;12489;11077;14117;19;1393;18;64560;61673;58394;3279;2171;;;710;;;;;;;;;rab_sila_2010
2000;65273;7059;;;;;;;59329;58193;56241;1952;313;;;823;;;;;;;;;rab_sila_2008
2001;65124;6288;8155;6487;1668;11;1657;12,5;60585;58780;56227;2553;1323;;;481;;;;;;;;;rab_sila_2008
2002;66266;6155;8600;6783;1817;4;1813;13;61520;59774;57542;2232;1175;;;572;;;;;;;;;rab_sila_2008
2003;67152;5683;10637;8859;1778;21;1757;15,8;62226;58918;54293;4625;2223;;;1085;;;;;;;;;rab_sila_2008
2004;67134;5775;10787;9317;1470;15;1455;16,1;62590;59252;55225;4027;2422;;;915;;;;;;;;;rab_sila_2008
2005;68603;5208;12092;10287;1805;9;1796;17,6;63614;60227;55976;4251;2473;;;914;;;;;;;;;rab_sila_2008
2006;69157;4999;11667;10162;1505;10;1495;16,9;64551;60950;56832;4118;2338;;;1262;;;;;;;;;rab_sila_2008
2007;70814;4246;12080;10659;1421;17;1404;17,1;66183;62327;58322;4005;2481;;;1375;;;;;;;;;rab_sila_2008
1992;71171;3889;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1993;68565;4286;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1994;64858;5740;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1995;64055;6684;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1996;63000;6740;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1997;60208;8065;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1998;58464;8938;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1999;63633;9158;;;;;;;57369;56238;54254;1984;322;;;809;;;;;;;;;rab_sila_2006
2000;65273;7059;;;;;;;59329;58193;56241;1952;313;;;823;;;;;;;;;rab_sila_2006
2001;65124;6288;;;;;;;60585;58780;56227;2553;1323;;;481;;;;;;;;;rab_sila_2006
2002;66266;6155;;;;;;;61520;59774;57542;2232;1175;;;572;;;;;;;;;rab_sila_2006
2003;67152;5683;;;;;;;62226;58918;54293;4625;2223;;;1085;;;;;;;;;rab_sila_2006
