Year;Quarter;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2019;2;71636,85005;3429,803035;15250,42943;14170,51647;1079,912958;26,31991431;1053,593044;21,28852598;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276015;;31,67187485;;;;;;;ORS_2019
2019;3;72301,51248;3331,014659;15243,72255;14152,12318;1091,599369;20,79814231;1070,801227;21,08354587;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;;;;;;;ORS_2019
2019;4;72392,36718;3485,242792;14901,68131;13943,36401;958,3172963;18,88869999;939,4285963;20,58460289;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;;;;;;;ORS_2019
2017;1;71723,87296;4211,073;13434,41668;12640,03959;794,3770848;18,47524047;775,9018443;18,7307463;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;;;;;;;ORS_2018
2017;2;72081,01997;3951,720047;14338,55078;13305,52568;1033,025102;15,20877486;1017,816327;19,89226954;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;;;;;;;ORS_2018
2017;3;72851,87942;3840,879341;15156,80993;14098,23607;1058,573862;18,40342385;1040,170438;20,80496763;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;;;;;;;ORS_2018
2017;4;72606,97137;3874,227548;14367,22828;13435,22798;932,0003045;13,37415751;918,6261469;19,78767054;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;;;;;;;ORS_2018
2018;1;72056,0255;3844,54352;13961,24758;13123,36791;837,8796708;18,84668282;819,032988;19,37554491;67214,60037;64157,11798;62210,82081;1946,297174;2429,614159;;;586,415455;31,02901601;10,42375595;;;;;;;ORS_2018
2018;2;72443,67828;3620,800588;14684,8838;13735,58648;949,297322;21,50759361;927,7897284;20,27075951;67426,2154;64155,62639;62256,73481;1898,891577;2581,217347;;;662,05256;20,69340317;6,179204239;;;;;;;ORS_2018
2018;3;73058,07186;3514,091247;15163,68894;14180,37493;983,3140022;18,89598781;964,4180144;20,75566539;67922,38129;64489,07187;62305,31879;2183,753076;2762,555801;;;633,1856657;26,57560494;9,83320432;;;;;;;ORS_2018
